Subject,Appraisal_Dimension,Item,Order,Rating,RT
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9182,75,98,3706.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9252,25,100,12991.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9253,46,97,4958.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9265,84,99,4326.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9300,65,96,4338.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9301,59,100,4605.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9400,89,100,3458.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9410,58,100,4707.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9452,29,69,7971.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9561,19,96,4856.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9584,68,99,4974.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9635,11,98,4724.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9800,106,99,11271.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9810,98,98,5271.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,A013,86,100,4346.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,A041,90,100,3958.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,A055,44,100,4944.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,A062,24,94,6446.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,A064,48,23,7654.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,A069,81,98,4182.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,A095,26,97,4542.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,A127,30,98,3669.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,H022,7,100,6198.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,H064,6,63,6051.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,H077,82,100,4161.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,H079,61,96,4905.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,P039,50,3,4057.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,P077,57,3,4163.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,P078,16,3,5556.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,P096,55,3,3650.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,1050,97,45,2535.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,1052,51,46,2634.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,1120,84,58,2367.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,1201,40,58,3125.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,1270,78,59,2179.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,1303,94,55,4800.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,1440,44,1,2303.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,1441,10,2,3114.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,1463,17,1,7095.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,1710,5,0,2331.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,1722,76,8,2666.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,2057,50,5,2681.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,2070,106,5,2655.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,2091,6,0,2714.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,2154,73,3,2281.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,2205,61,0,5531.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,2224,81,2,4131.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,2332,111,5,2245.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,2340,15,6,3131.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,2395,19,2,3165.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,2550,42,4,2716.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,2683,34,98,2542.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,2691,36,97,2842.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,2710,28,96,3024.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,2717,35,98,2267.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,2811,47,69,2498.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,3005,65,96,2285.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,3015,16,99,3097.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,3051,38,99,2531.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,3053,74,98,2481.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,3063,14,94,5056.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,3064,66,98,8808.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,3068,46,97,2400.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,3150,58,98,3915.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,3181,11,86,3151.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,3500,9,100,3064.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4002,52,45,2499.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4141,7,87,3983.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4180,93,58,2332.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4225,24,54,2711.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4232,77,67,2568.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4250,39,50,2556.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4311,99,78,3033.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4460,62,44,3363.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4542,79,43,2688.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4561,63,40,2348.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4574,23,5,2157.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4599,2,19,3530.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4607,109,53,2824.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4611,67,59,2399.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4622,87,3,3214.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4623,41,42,23872.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4625,31,25,3612.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4645,21,19,2115.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4659,101,55,2615.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4670,30,96,2565.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4672,95,50,2496.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4680,80,60,2826.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,4695,98,57,2462.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,5270,89,3,2385.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,5629,22,4,2282.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,5661,27,48,4095.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,5700,55,4,2481.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,5780,56,1,2415.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,5910,18,2,3466.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,6212,32,98,3966.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,6560,25,97,2462.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,6821,68,96,2615.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,7230,90,9,2082.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,7325,26,3,2465.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,7330,4,0,2551.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,7359,54,59,2863.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,7361,13,58,3672.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,7430,88,6,2783.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,7450,43,26,2312.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,7470,20,22,2567.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,7480,45,47,3994.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,8461,92,45,3883.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,8497,3,4,4762.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9040,110,98,2835.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9050,108,61,3952.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9181,102,96,2232.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9182,75,85,8246.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9252,69,98,2917.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9253,82,96,2566.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9265,91,99,3095.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9300,29,98,2926.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9301,57,96,2498.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9400,8,100,3512.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9410,104,98,2629.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9452,86,98,3151.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9561,100,82,2866.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9584,107,45,2866.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9635,83,96,2362.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9800,60,98,2526.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,9810,59,97,2124.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,A013,105,96,3193.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,A041,53,98,6450.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,A055,96,98,4013.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,A062,1,73,5749.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,A064,103,96,2766.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,A069,64,99,3297.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,A095,71,98,2632.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,A127,48,76,2534.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,H022,85,97,2563.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,H064,72,98,3950.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,H077,49,98,2681.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,H079,12,97,3449.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,P039,33,1,2804.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,P077,37,1,2467.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,P078,70,0,3573.0
A38BPA6LLVQCN:30BUDKLTXE7GH1FVDRO5NOW1S8YE5W,disgust,P096,112,2,2183.0
A2HCX55SX2NP1V:30H4UDGLT3UIMZPRE4L2Y26QMMHMPM,disgust,1050,55,76,3948.0
A2HCX55SX2NP1V:30H4UDGLT3UIMZPRE4L2Y26QMMHMPM,disgust,1052,74,67,3604.0
A2HCX55SX2NP1V:30H4UDGLT3UIMZPRE4L2Y26QMMHMPM,disgust,1120,79,69,3159.0
A2HCX55SX2NP1V:30H4UDGLT3UIMZPRE4L2Y26QMMHMPM,disgust,1201,84,72,3734.0
A2HCX55SX2NP1V:30H4UDGLT3UIMZPRE4L2Y26QMMHMPM,disgust,1270,26,50,2808.0
A2HCX55SX2NP1V:30H4UDGLT3UIMZPRE4L2Y26QMMHMPM,disgust,1303,63,7,4032.0
A2HCX55SX2NP1V:30H4UDGLT3UIMZPRE4L2Y26QMMHMPM,disgust,1440,6,3,3198.0
A2HCX55SX2NP1V:30H4UDGLT3UIMZPRE4L2Y26QMMHMPM,disgust,1441,66,0,3113.0
A2HCX55SX2NP1V:30H4UDGLT3UIMZPRE4L2Y26QMMHMPM,disgust,1463,91,1,3191.0
A2HCX55SX2NP1V:30H4UDGLT3UIMZPRE4L2Y26QMMHMPM,disgust,1710,101,8,2944.0
